Feature/Subfeature,Description,View/Area,Type,Kill? (X to kill),Notes/Changes

=== NAVIGATION & SHELL ===,,,,,
Today Focus Tiles,"2 count tiles: Open Orders, Intake Ready — click to navigate pre-filtered",DashboardView,Navigation / Widget,,,
Pending Work Queues Panel,List of work queues (Intake/Sales/Payments) with item counts + click to navigate,DashboardView,Panel,,,
Health Checks Status,Status pill showing if system health checks are passing,DashboardView,Panel / Widget,,,
My Open Work Grid,AG Grid of all work queue items assigned to current user,DashboardView,Grid,,,
My Open Work — Snooze,Inline action to snooze a work item for 24 hours (local),DashboardView,Inline Action,,,
My Open Work — Dismiss Matchmaking,Inline action to dismiss matchmaking items for 30 days,DashboardView,Inline Action,,,
Credit Watch Panel,Customers closest to/over credit limit (manager/owner only) — click to navigate,DashboardView,Panel,,,
Your Drafts Panel,"All draft POs/Sales Orders by current user — click to navigate to draft",DashboardView,Panel,,,
Recent Activity Panel,Log of recent commands run by all users,DashboardView,Panel,,,

=== PURCHASE ORDERS ===,,,,,
Purchase Orders Grid,Main AG Grid of all POs with inline editing,PurchaseOrdersView,Grid,,,
PO Grid — Inline Editing,"Cells editable inline: Expected Date, Notes, Payment Terms",PurchaseOrdersView,Inline Action,,,
Filter Preset Strip,"Pre-configured filters: Active, Ordered, Finalized",PurchaseOrdersView,Filter,,,
PO Status Action Bar,"Context-sensitive toolbar for selected POs with actions based on status",PurchaseOrdersView,Toolbar Action,,,
Action: Finalize PO,Move draft PO to finalized,PurchaseOrdersView,Workflow (Status),,,
Action: Approve PO,Move finalized PO to approved (manager+ only),PurchaseOrdersView,Workflow (Status),,,
Action: Receive PO (Full),Create intake drafts for all outstanding lines on approved/ordered PO,PurchaseOrdersView,Workflow (Status),,,
Action: Receive Selected Qty,Create intake drafts for specific quantities entered in lines grid,PurchaseOrdersView,Workflow (Status),,,
Action: Unfinalize,Return finalized PO to draft,PurchaseOrdersView,Workflow (Status),,,
Action: Record Prepayment,Open dialog to record prepayment for approved PO,PurchaseOrdersView,Workflow,,,
Action: Cancel PO,Move PO to cancelled status,PurchaseOrdersView,Workflow (Status),,,
PO Lines Grid,Secondary grid showing line items for selected PO,PurchaseOrdersView,Grid (Master-Detail),,,
PO Lines — Receive Qty Column,Editable column on receivable POs for partial receiving,PurchaseOrdersView,Inline Action,,,
PO Lines — Draft Lines Editing,"Editable cells: Product, Qty, Cost, Notes (draft POs only)",PurchaseOrdersView,Inline Action,,,
PO Lines — Draft Selected Lines,Toolbar action to draft intake for only selected lines,PurchaseOrdersView,Toolbar Action,,,
New PO Button,Open the New PO authoring workspace,PurchaseOrdersView,Toolbar Action,,,
PO Authoring Workspace,"Inline panel for creating new PO: header details + line-item grid",PurchaseOrdersView,Panel,,,
PO Authoring — Header Fields,"Fields: Vendor selector, Expected Date, Notes, Payment Terms, Prepayment Amount",PurchaseOrdersView,Form,,,
PO Authoring — Add New Vendor,Inline form to create new vendor from PO workspace,PurchaseOrdersView,Form,,,
PO Authoring — Add Referee Credit,Dropdown to associate referee for credit accrual,PurchaseOrdersView,Form,,,
PO Authoring — Draft Lines Grid,Editable AG Grid for adding line items to new PO,PurchaseOrdersView,Grid (Editable),,,
PO Authoring — Add Line Button,Toolbar button to add blank row to draft lines,PurchaseOrdersView,Toolbar Action,,,
PO Authoring — Save Draft,Save current workspace as draft PO,PurchaseOrdersView,Workflow,,,
PO Authoring — Approve PO,"Save, finalize, and approve in one step",PurchaseOrdersView,Workflow,,,
PO Authoring — Vendor Context Panel,"Side panel: vendor terms, open bills, historical products for quick-add",PurchaseOrdersView,Panel,,,
PO Authoring — Market Signals,Section showing current inventory levels + pricing for relevant categories,PurchaseOrdersView,Panel,,,
Vendor Context Drawer,Drawer with detailed vendor context,PurchaseOrdersView,Drawer,,,
Add Referee Relationship Drawer,Drawer form for creating referee-vendor relationship,PurchaseOrdersView,Drawer,,,
Record Prepayment Dialog,Modal for recording prepayment against PO,PurchaseOrdersView,Modal,,,
Receipt Preview Overlay,Overlay displaying vendor receipt preview for finalized PO,PurchaseOrdersView,Modal,,,

=== PURCHASE RECEIPTS ===,,,,,
Purchase Receipts Grid,"AG Grid of all posted receipts: Receipt No, PO No, Vendor, Total, Status, Created At",PurchaseReceiptsView,Grid,,,
Receipt Lines Grid,"Secondary grid on selection: Product, Batch Code, Qty, Unit Cost, Subtotal",PurchaseReceiptsView,Grid (Master-Detail),,,

=== INTAKE ===,,,,,
Intake Queue Grid (Master-Detail),"Master rows = POs, detail rows = intake batches per PO",IntakeView,Grid (Master-Detail),,,
PO Master Row Columns,"PO No, Vendor, Status, Expected/Received Qty, Expected/Verified Cost",IntakeView,Grid,,,
Batch Detail Row — Columns,"Batch, Product, Subcategory, Market Name, Expected/Actual Qty, Discrepancy Reason, Unit Cost, Status, Arrival, Media, Notes",IntakeView,Grid,,,
Batch Detail Row — Inline Editing,"Editable: Actual Qty, Discrepancy Reason, Arrival Status, Market Name",IntakeView,Inline Action,,,
Qty Discrepancy Indicator,Actual qty cell turns yellow if ≠ expected qty,IntakeView,Grid (Visual),,,
Discrepancy Reason Required Indicator,Discrepancy reason cell turns red if mismatch exists but no reason provided,IntakeView,Grid (Visual),,,
Action: Verify All Batches (PO),"Verify all pending batches on a PO at once with confirmation dialog + preview",IntakeView,Inline Action / Workflow,,,
Action: Preview Receipt (PO),Open drawer previewing purchase receipt for the PO,IntakeView,Inline Action / Drawer,,,
Action: Verify Batch (Single),"Verify a single batch, posting its receipt",IntakeView,Workflow,,,
Action: Reject Batch,Reject a batch with reason dropdown,IntakeView,Workflow,,,
Action: Add Note to Batch,Append a note to a batch,IntakeView,Inline Action,,,
Action: Delete Batch (Draft),Delete a draft batch with confirmation,IntakeView,Inline Action,,,
Action: History/Reverse,Link to navigate to Recovery view filtered to that batch's command history (posted batches),IntakeView,Navigation,,,
Selection Totals Strip,"Bar showing total selected batch count, quantity, cost",IntakeView,Panel,,,
Keyboard Shortcut Hints,"Strip shows shortcuts: Duplicate, Mark Ready, Process",IntakeView,Keyboard Shortcut,,,
TSV Paste Support,Pasting tab-separated data into view shows summary toast,IntakeView,Workflow (Input),,,
Receipt Preview Drawer,Drawer showing preview of purchase receipt to be generated,IntakeView,Drawer,,,

=== INVENTORY ===,,,,,
Inventory Batches Grid,Main AG Grid of all inventory batches,InventoryView,Grid,,,
Inventory Grid — Default Columns,"Batch Code, Name, Available Qty, Unit Cost, Unit Price, Marker, Media, Status",InventoryView,Grid,,,
Inventory Grid — Hidden Columns,"Subcategory, Market Name, Category, Tags, Vendor, Reserved Qty, UOM, Location, Ownership, Arrival, Photos?, Lot Code, Expiration Date",InventoryView,Grid,,,
Inventory Grid — Inline Editing,"Editable: Available Qty, Unit Price, Lot Code, Expiration Date, Tags, Marker, statuses",InventoryView,Inline Action,,,
Auto-Pricing Indicator,"Unit Price cell shows ""Auto"" label if derived from pricing rule",InventoryView,Grid (Visual),,,
Filter Preset Strip,"Pre-configured filters: Available, Office Stock, No photos",InventoryView,Filter,,,
Photography Queue Panel,Panel showing counts of batches needing media + link to Media view,InventoryView,Panel,,,
Row Actions Panel,Panel when row is selected with tools to adjust quantity/status/location/ownership/tags,InventoryView,Panel,,,
Row Action: Adjust Quantity,"Delta input (+/-) to adjust qty with required reason + before/after preview",InventoryView,Workflow,,,
Row Action: Set Status,"Dropdown to change batch status (Held, Damaged, etc.) with required reason",InventoryView,Workflow,,,
Row Action: Move Location,Input to change physical location with required reason,InventoryView,Workflow,,,
Row Action: Move Ownership,"Dropdown to change ownership (Office, Consigned) with required reason",InventoryView,Workflow,,,
Row Action: Apply Tags,Text input to replace tags on selected batch,InventoryView,Workflow,,,

=== SALES ===,,,,,
Sales Orders Grid,"AG Grid of all sales orders: Order No, Customer, Status, Pricing, Total, Margin, Lines, Picked",SalesView,Grid,,,
Sales Orders — Inline Editing,Delivery Window cell editable inline,SalesView,Inline Action,,,
Sales Orders — Filter Strip,"Pre-configured filters: All Open, Confirmed, Today, Needs marks",SalesView,Filter,,,
Margin Visibility Toggle,"Toggle to show/hide internalMargin column in grids (drawer control)",SalesView,Setting,,,
Customer Workspace,"Activated when customer is selected: inventory finder + purchase history + suggestions + line items grid",SalesView,Panel,,,
Sales Source Pane (Inventory Finder),Side panel for searching and adding available inventory to draft order,SalesView,Panel,,,
Customer Purchase History Panel,Panel showing past purchases with quick-add to current order,SalesView,Panel,,,
Photography Queue Panel (Sales),Panel showing media-needy batches to inform cataloging decisions,SalesView,Panel,,,
Sales Suggestions Grid,Suggested items to sell based on customer history + needs,SalesView,Grid,,,
Sales Suggestions — Filtering,"Filter suggestions by category, price bracket, or aging only",SalesView,Filter,,,
Sales Line Items Grid,"Editable AG Grid: Product, Source (Batch), Qty, Unit Price, Markup $, Markup %, COGS, Exceptions, Pick Status, closeout marks",SalesView,Grid (Editable),,,
Sales Line Items — Inline Editing,"Financial + status fields editable inline (subject to pick status locks)",SalesView,Inline Action,,,
Sales Line Items — Manual Entry,Form below grid to manually add unresolved line item by name + qty,SalesView,Workflow,,,
Sales Line Items — Typeahead,Manual entry input suggests available batches for direct addition,SalesView,Workflow,,,
Line Exception Controls,"Expansion row with controls to resolve COGS issues, below-floor reasons, vendor approvals",SalesView,Inline Action,,,
Pick/Fulfillment Actions Column,"Column + expansion rows with ""Release for picking"" / ""Recall from pick"" buttons",SalesView,Workflow,,,
Pre-Post Checklist,"Strip showing readiness checks: credit, duplicate sources, pricing, inventory resolution",SalesView,Panel,,,
Repeat Last Order,Button to fetch customer's most recent sheet and add all available items,SalesView,Workflow,,,
Add to Sheet / Export Offer,"Add selected suggestions to ""sheet"" then export as CSV or copy as text",SalesView,Export,,,
Status Action Bar (Sales),"Context-sensitive toolbar: Confirm, Post, Reprice, Fulfill, Pick List, Cancel",SalesView,Toolbar Action,,,
Main Sale Actions (Workspace),"Primary buttons: Price & Confirm, Reserve Inventory, remove selected lines",SalesView,Toolbar Action,,,
Apply Credit (Manager+),Inputs to apply manual credit to order with required reason,SalesView,Workflow,,,
Select Referee,Dropdown to associate referee for credit accrual,SalesView,Workflow,,,

=== MATCHMAKING ===,,,,,
Matchmaking Settings Panel,"Collapsible panel: score floors, thresholds, lookback days",MatchmakingView,Setting,,,
Matchmaking Entry Panel,"Forms to manually enter Customer Needs and Vendor Supply",MatchmakingView,Panel,,,
Deterministic Matches Grid,Main grid showing computer-generated matches with scores + fit indicators,MatchmakingView,Grid,,,
Match Expansion Row,"Expanding a match reveals reasoning + context-sensitive actions",MatchmakingView,Grid,,,
Match Actions,"Inline actions: Accept, Dismiss, Reopen",MatchmakingView,Workflow,,,
Next Step Actions (Create PO/Sale),For accepted matches: buttons to navigate to PO or Sales view,MatchmakingView,Navigation,,,
Proactive Opportunities Panel,"Collapsible panel with grids: Inventory to Move, Gaps to Fill",MatchmakingView,Panel,,,
Inventory to Move Grid,Suggestions based on customer history + available stock,MatchmakingView,Grid,,,
Gaps to Fill Grid,Suggestions for sourcing based on low inventory + demand history,MatchmakingView,Grid,,,
Note Contact Action,Inline action in opportunities grids to log outreach,MatchmakingView,Inline Action,,,
Input Registry Panel,"Collapsible panel: raw un-matched Customer Needs + Vendor Stock grids",MatchmakingView,Panel,,,

=== ORDERS ===,,,,,
Orders Grid,AG Grid of all sales orders,OrdersView,Grid,,,
Cross-Order Source Column,Chip indicator for orders sharing line-item sources with other open orders,OrdersView,Grid,,,
Filter Preset Strip,"Pre-configured: All Open, Confirmed, Today, Needs marks",OrdersView,Filter,,,
Status Action Bar,"Context-sensitive toolbar: Confirm, Post, Reprice, Allocate Fulfillment, Create Pick List, Cancel, Mark Packed/Inv-Posted/Pay-F-up",OrdersView,Toolbar Action,,,
Inspector Drawer with Invoice Tab,"Drawer on selected order: invoice details tab + deep link to Payments view",OrdersView,Drawer,,,

=== FULFILLMENT ===,,,,,
Fulfillment (Pick Lists) Grid,AG Grid of all pick lists,FulfillmentView,Grid,,,
Pick Queue Filter Chips,"Toggle buttons: Needs picking, In progress, Has alerts, Ready to close",FulfillmentView,Filter,,,
Filter Preset Strip,"Pre-configured: Open picks, Fulfilled picks",FulfillmentView,Filter,,,
Status Action Bar,Toolbar for selected pick list — primary action: Mark fulfilled,FulfillmentView,Toolbar Action,,,
Fulfillment Lines Grid,Secondary grid: line items for selected pick list,FulfillmentView,Grid (Master-Detail),,,
Line Packing Strip,"Panel on line selection: Actual Qty, Weight, Bag Code inputs + Pack line button",FulfillmentView,Panel,,,
Warehouse Alerts Drawer,"Drawer: manage warehouse alerts — Acknowledge, Return, Mark Cancelled",FulfillmentView,Drawer,,,

=== PICK QUEUE (Warehouse Operator) ===,,,,,
Pick List Queue Grid,"All open pick lists grouped by status (Needs Picking, In Progress) with ID, # Lines, Age",PickView,Grid,,,
Pick Line Screen Navigation,Click a pick list → navigate to Pick Line screen,PickView,Navigation,,,
Pick Queue Screen (Mobile),Initial picking flow screen — tap a pick list to start,PickLineScreen,Panel (Mobile),N/A (mobile),,
Pick List Line Items Screen,Line items for single pick list — tap a line to weigh and pack,PickListScreen,Panel (Mobile),N/A (mobile),,
Pick Line Pack Screen,Main packing screen: weight input + keypad,PickLineScreen,Panel (Mobile),N/A (mobile),,
Numeric Keypad Input,Custom on-screen numeric keypad for weight entry,PickLineScreen,Input (Mobile),N/A (mobile),,
Tare/Zero Scale Action,Button to tare/zero the scale,PickLineScreen,Inline Action (Mobile),N/A (mobile),,
Confirm Pack Action,Confirm weight and mark line as packed,PickLineScreen,Workflow (Mobile),N/A (mobile),,
Pick View (Mobile Route),PickView also mounted at /mobile/pick as warehouse operator tab,PickView,Page (Mobile),N/A (mobile),,

=== PAYMENTS ===,,,,,
Quick Ledger Grid,"Top panel: quick entry for cash, check, wire, crypto receipts",PaymentsView,Panel,,,
Payments Grid,Main AG Grid of all payment records,PaymentsView,Grid,,,
Unapplied Count Badge,Live badge showing count of payments with unapplied balance,PaymentsView,Panel / Badge,,,
Filter Preset Strip,"Pre-configured: Unpaid, Overdue, Unapplied",PaymentsView,Filter,,,
Status Action Bar,"Toolbar for selected payments: Auto-apply oldest, Allocate remaining",PaymentsView,Toolbar Action,,,
Payment Allocations Panel,"Panel on payment selection: existing allocations + unallocate / apply discounts",PaymentsView,Panel,,,
Inspector Drawer,"Tabs: Receipt and Linked Orders",PaymentsView,Drawer,,,

=== CLIENT BALANCES (Client Ledger) ===,,,,,
Client Balances Grid,AG Grid of all clients with balances,ClientLedgerView,Grid,,,
Client Name Link,Client name is a button navigating to Contact Profile view,ClientLedgerView,Navigation,,,
Link Contact Action,Inline button for unlinked clients to link to contact profile,ClientLedgerView,Inline Action,,,
Matchmaking Column,Optional column showing matchmaking activity with link to Matchmaking view (filtered),ClientLedgerView,Grid,,,

=== VENDOR PAYOUTS (Vendor Payables) ===,,,,,
Vendor Payouts Grid,AG Grid of all vendor bills,VendorPayablesView,Grid,,,
Vendor Name Link,Vendor name is button navigating to vendor Contact Profile,VendorPayablesView,Navigation,,,
Record Payout Panel,"Panel for recording payout: date, method, amount inputs",VendorPayablesView,Panel,,,
Vendor Bill Tools Panel,"Panel: manually create new bills, view/void past payouts",VendorPayablesView,Panel,,,
Edit Vendor Dialog,Modal for editing vendor details,VendorPayablesView,Modal,,,
Status Action Bar,"Toolbar: Approve, Schedule, Pay now",VendorPayablesView,Toolbar Action,,,
Expansion Row Actions,"Inline actions per bill row: Approve, Schedule, Pay, Void (status-dependent)",VendorPayablesView,Inline Action,,,

=== CLOSEOUT ===,,,,,
Closeout Checklist,"Side panel: checklist of tasks (Post orders, Reconcile payments, etc.) with links to views",CloseoutView,Panel,,,
Open Orders Grid,Grid of open sales orders needing post or cancel,CloseoutView,Grid,,,
Unreconciled Payments Grid,Grid of payments with unapplied balances,CloseoutView,Grid,,,
Open Payables Grid,Grid of vendor bills not yet paid/closed,CloseoutView,Grid,,,
Draft Intake Grid,Grid of intake batches still in draft,CloseoutView,Grid,,,
Period Lock/Archive Actions,"Owner-gated buttons: Post Period Adjustments, Lock Period, Archive Period",CloseoutView,Workflow,,,

=== RECOVERY ===,,,,,
Command History Grid,"AG Grid of all commands run: Command, Actor, Target, Status, Created At",RecoveryView,Grid,,,
Command Family Filter Chips,"Filter buttons by area: Intake, PO, Sales, etc.",RecoveryView,Filter,,,
User Filter,Dropdown to filter by user who executed command,RecoveryView,Filter,,,
Command Reversal,Inline action on reversible commands — shows confirmation dialog with guidance,RecoveryView,Workflow,,,
Command Reversal Guidance,Dialog displays catalog guidance about reversal implications,RecoveryView,Modal,,,
Command Journal Drawer,Drawer showing raw JSON payload + snapshot for selected command log entry,RecoveryView,Drawer,,,
Backup Restore Panel,"Owner-gated: select backup point, preview database state",RecoveryView,Panel,,,

=== SETTINGS ===,,,,,
Settings Navigation Tabs,"Tabs: Strain Aliases, Pricing, System (manager+), Credit Engine (owner), Requests (+ redirect links to Recovery/Closeout)",SettingsView,Navigation,,,
Settings Tab: System,"System-wide settings: transaction types grid + system configuration",SettingsView,Setting,,,
System Tab — Transaction Types,Editable grid to create/manage custom ledger transaction types,SettingsView,Setting (Grid),,,
Settings Tab: Strain Aliases,Editable grid mapping batch names to customer-facing aliases,SettingsView,Setting (Grid),,,
Settings Tab: Pricing,Default pricing rule form + customer-specific pricing rules grid,SettingsView,Setting,,,
Pricing Tab — Default Pricing Rule,Form to set system-wide default pricing rule,SettingsView,Setting,,,
Pricing Tab — Customer Pricing Rules,Grid to set per-customer pricing rules,SettingsView,Setting,,,
Settings Tab: Credit Engine,Owner-gated: global engine config + stances grid,SettingsView,Setting,,,
Credit Engine Tab — Config,"Form: default limits, risk tiers",SettingsView,Setting,,,
Credit Engine Tab — Stances,"Editable grid: create/manage credit stances (Aggressive, Conservative, etc.)",SettingsView,Setting,,,
Settings Tab: Requests,Embedded ConnectorsView for connector request review (also canonical landing for /connectors + /processors when flagged off),SettingsView,Setting,,,

=== MEDIA / PHOTOGRAPHY ===,,,,,
Photography Queue Grid,AG Grid of inventory batches in photography queue,MediaView,Grid,,,
Filter Preset Strip,"Pre-configured: Needs Primary Photo, Awaiting Publication",MediaView,Filter,,,
Media Upload Panel,"Drag-and-drop area for uploading media (appears on batch selection)",MediaView,Panel,,,
Existing Media Gallery,Gallery of already-uploaded media for selected batch,MediaView,Panel,,,
Media Actions,"Per-item: Set as Primary, Publish, Delete",MediaView,Inline Action,,,
Public Link Generation,Generate shareable token-gated URL for direct photo uploads to batch,MediaView,Workflow,,,
Mobile Photo Upload Route,Dedicated mobile route /photography/mobile/:batchId for photo uploads,MediaUploadMobile,Page (Mobile),N/A (mobile),,

=== CONTACTS ===,,,,,
Contacts Grid,"AG Grid: Name, Company, Roles (Customer/Vendor/etc.), links to financial profiles",ContactsView,Grid,,,
Filter Preset Strip,"Pre-configured: Customers, Vendors, Employees",ContactsView,Filter,,,
New Contact Modal,Modal form for creating new contact,ContactsView,Modal,,,
New Appointment Modal,Modal form for scheduling appointment (from selected contact),ContactsView,Modal,,,
Contact Profile Link,Click name → navigate to ContactProfileView,ContactsView,Navigation,,,

=== CONTACT PROFILE ===,,,,,
Contact Header,"Name, company, Edit/Archive buttons",ContactProfileView,Panel,,,
Contact Details Panel,Phone + email + address display,ContactProfileView,Panel,,,
Roles Panel,Roles assigned to contact (e.g. Customer/Vendor),ContactProfileView,Panel,,,
Customer Financials Panel,"If customer: balance, credit limit, stance",ContactProfileView,Panel,,,
Vendor Financials Panel,If vendor: open payables display,ContactProfileView,Panel,,,
Appointments Panel,"Upcoming/past appointments + Cancel/Complete actions",ContactProfileView,Panel,,,
Command History Panel,Log of system commands related to contact,ContactProfileView,Panel,,,
Contact Settings Panel,"Tools: add roles, link contact to system user account",ContactProfileView,Panel,,,

=== MERGE CANDIDATES (Deferred — route redirects to /contacts) ===,,,,,
Merge Candidates Grid,"Potential duplicate entity records (deferred — BE-014/TER-1591)",MergeCandidatesView,Grid,Currently redirected,Deferred feature — route redirects to /contacts
Candidate Comparison Panel,Side-by-side view of merge candidate fields,MergeCandidatesView,Panel,Currently redirected,Deferred feature
Merge/Dismiss Actions,"Buttons: Approve merge, Dismiss candidate",MergeCandidatesView,Workflow,Currently redirected,Deferred feature

=== ITEMS / SKUs ===,,,,,
Items (Products) Grid,AG Grid of all product/item definitions,ItemsView,Grid,,,
New Item Modal,Modal form for creating new item,ItemsView,Modal,,,
Edit Item Drawer,Drawer for editing selected item details,ItemsView,Drawer,,,
Status Toggle Action,Inline action to toggle item active/inactive,ItemsView,Inline Action,,,

=== INVOICE DISPUTES ===,,,,,
Invoice Disputes Grid,AG Grid of all active invoice disputes,InvoiceDisputesView,Grid,,,
Dispute Resolution Panel,"Panel on dispute selection: Resolve or Reject with reason",InvoiceDisputesView,Panel,,,

=== CREDIT REVIEW ===,,,,,
Credit Review Grid,AG Grid of customers flagged for credit review (over limit etc.),CreditReviewView,Grid,,,
Credit Action Panel,"Per-customer: set manual limit, snooze reminder, revert to engine limits",CreditReviewView,Panel,,,

=== REFEREES ===,,,,,
Referees Grid,AG Grid of all referees,RefereesView,Grid,,,
Referee Relationships Grid,Secondary grid: vendor relationships for selected referee,RefereesView,Grid (Master-Detail),,,
Referee Credit Ledger Grid,Tertiary grid: credit transaction history for selected referee,RefereesView,Grid (Master-Detail),,,
New Referee Modal,Modal for creating new referee,RefereesView,Modal,,,
New Relationship Modal,Modal for creating new referee-vendor relationship,RefereesView,Modal,,,
Void Credit Action,Inline action in ledger to void accrued credit,RefereesView,Inline Action,,,

=== PROCESSORS (Flagged off — redirects to Settings → Requests) ===,,,,,
Payment Processors Grid,AG Grid of payment processors,ProcessorsView,Grid,Currently redirected,TER-1664: MVP-out — flagged off
New/Edit Processor Drawer,Drawer for creating/editing processor,ProcessorsView,Drawer,Currently redirected,TER-1664: MVP-out

=== CONNECTORS (Flagged off — redirects to Settings → Requests) ===,,,,,
Connector Requests Grid,AG Grid of inbound connector requests,ConnectorsView,Grid,N/A (see Settings),TER-1664: MVP-out — accessible via Settings → Requests
Request Actions,"Inline actions: Approve, Reject",ConnectorsView,Inline Action,N/A (see Settings),TER-1664

=== MOBILE VIEWS ===,,,,,
Mobile Dashboard,"Greeting card, KPI grid, work queues, my drafts, recent activity, health strip",MobileDashboardView,Page (Mobile),N/A (mobile),,
Mobile Inventory,"Search bar, filter chips, batch list with expandable details, adjust qty + flag actions",MobileInventoryView,Page (Mobile),N/A (mobile),,
Mobile Catalog,"2-column photo grid, search/filter, detail bottom sheet, add photo, copy offer, view in inventory",MobileCatalogView,Page (Mobile),N/A (mobile),,
Mobile Payments,"Receive/Pay tabs, open invoices/bills list, expandable payment form, confirmation sheet",MobilePaymentsView,Page (Mobile),N/A (mobile),,
Mobile Contacts,"Search + role filter, contact cards list, profile navigation",MobileContactsView,Page (Mobile),N/A (mobile),,
Mobile Contact Profile,"Header card, detail panels (contact info/financials/history), back navigation",MobileContactProfileView,Page (Mobile),N/A (mobile),,
Mobile Intake,"Pending batches list, verify + flag actions with confirmation/reason panels",MobileIntakeView,Page (Mobile),N/A (mobile),,

=== REPORTS (Navigation shell exists — no report views implemented) ===,,,,,
Reports Route Shell,Navigation + layout shell for reports section,ReportsRouteShell,Navigation,,No report components found in reports/ directory

=== COMMAND CATALOG (Backend commands by domain) ===,,,,,
Intake Commands,"createBatch, updateBatch, deleteBatch, postPurchaseReceipt, rejectBatch, flagBatch, verifyAllIntake, adjustBatchQuantity, setInventoryStatus, transferInventoryLocation, transferInventoryOwnership, setBatchPrice, setBatchLotInfo, attachBatchPhoto, uploadBatchMedia, setBatchMediaRole, publishBatchMedia, deleteBatchMedia, importBatchesCsv (internal), applyTags",Command Catalog,Backend Command,,,
Purchase Order Commands,"createPurchaseOrder, updatePurchaseOrder, addPurchaseOrderLine, updatePurchaseOrderLine, removePurchaseOrderLine, finalizePurchaseOrder, unfinalizePurchaseOrder, approvePurchaseOrder, receivePurchaseOrder, cancelPurchaseOrder, recordVendorPrepayment, setLineLandedCost",Command Catalog,Backend Command,,,
Sales Commands,"createSalesOrder, addSalesOrderLine, updateSalesOrderLine, removeSalesOrderLine, reserveInventoryForOrder, priceSalesOrder, confirmSalesOrder, cancelSalesOrder, postSalesOrder, repriceOrder, applyClientCredit, setDeliveryWindow",Command Catalog,Backend Command,,,
Payment Commands,"logPayment, allocatePayment, unallocatePayment, refundPayment, applyDiscount, postTransactionLedgerRow, upsertTransactionType",Command Catalog,Backend Command,,,
